항목,시점,이용행태별(1),만60-69세,만70세이상
그렇지 않다 (%),2021,기기의 악성코드 검사 및 치료 가능 정도,78.4,96.39999999999999
그렇지 않다 (%),2021,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,47.0,85.0
그렇지 않다 (%),2021,모바일 뱅킹 등 금융거래 가능 정도,53.8,93.2
그렇지 않다 (%),2021,무선 네트워크 설정 가능 정도,28.0,77.9
그렇지 않다 (%),2021,문서나 자료 작성 가능 정도,74.0,95.80000000000001
그렇지 않다 (%),2021,쇼핑 및 공연 등 예약/예매 가능 정도,60.400000000000006,94.2
그렇지 않다 (%),2021,수신된 이메일 열람 및 확인 가능 정도,58.099999999999994,90.8
그렇지 않다 (%),2021,수신된 인스턴트 메신저 열람 및 확인 가능 정도,8.7,53.099999999999994
그렇지 않다 (%),2021,수신된 휴대폰 문자메시지 열람 및 확인 가능 정도,2.5999999999999996,29.3
그렇지 않다 (%),2021,스팸문자나 피싱문자 등 위험한 문자 구분 및 신고 방법 인지 정도,77.7,96.19999999999999
그렇지 않다 (%),2021,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,75.7,96.0
그렇지 않다 (%),2021,웹사이트 주소를 인터넷 주소창에 직접 입력하여 방문 가능 정도,39.2,83.89999999999999
그렇지 않다 (%),2021,이메일 작성하여 타인에게 발송 가능 정도,61.5,93.0
그렇지 않다 (%),2021,이메일에 첨부된 파일 다운로드하여 열람 가능 정도,67.19999999999999,93.8
그렇지 않다 (%),2021,이메일에 파일 첨부하여 발송 가능 정도,66.7,94.2
그렇지 않다 (%),2021,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,12.3,57.6
그렇지 않다 (%),2021,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,18.299999999999997,65.2
그렇지 않다 (%),2021,"정보 검색하지 못 하는 경우, 검색어를 바꾸거나 고급검색방법을 활용해 추가 검색 진행 가능 정도",55.400000000000006,89.10000000000001
그렇지 않다 (%),2021,즐겨찾기를 통해 인터넷 사이트 방문 가능 정도,34.7,82.5
그렇지 않다 (%),2021,파일을 컴퓨터로 이동 가능 정도,71.7,94.6
그렇지 않다 (%),2021,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,63.1,92.1
그렇지 않다 (%),2021,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,5.5,42.0
그렇지 않다 (%),2022,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",13.100000000000001,66.7
그렇지 않다 (%),2022,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,38.6,78.7
그렇지 않다 (%),2022,모바일 뱅킹 등 금융거래 가능 정도,43.1,87.7
그렇지 않다 (%),2022,무선 네트워크 설정 가능 정도,18.1,73.4
그렇지 않다 (%),2022,문서나 자료 작성 가능 정도,72.0,94.5
그렇지 않다 (%),2022,쇼핑 및 공연 등 예약/예매 가능 정도,54.900000000000006,91.3
그렇지 않다 (%),2022,수신된 이메일 열람 및 확인 가능 정도,51.900000000000006,88.6
그렇지 않다 (%),2022,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,67.19999999999999,93.39999999999999
그렇지 않다 (%),2022,이메일 작성하여 타인에게 발송 가능 정도,59.9,91.10000000000001
그렇지 않다 (%),2022,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,5.2,47.0
그렇지 않다 (%),2022,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,10.7,58.2
그렇지 않다 (%),2022,파일을 컴퓨터로 이동 가능 정도,69.4,93.6
그렇지 않다 (%),2022,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,58.8,91.6
그렇지 않다 (%),2022,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,4.199999999999999,38.3
